18-02-50: asset: BTCUSDT, rsi: 39.5959, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-03-02: asset: BTCUSDT, rsi: 39.8131, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-03-13: asset: BTCUSDT, rsi: 39.8131, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-03-25: asset: BTCUSDT, rsi: 39.8131, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-03-37: asset: BTCUSDT, rsi: 39.8131, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-03-48: asset: BTCUSDT, rsi: 39.8131, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-04-00: asset: BTCUSDT, rsi: 40.6002, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-04-12: asset: BTCUSDT, rsi: 40.1480, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-04-23: asset: BTCUSDT, rsi: 40.1480, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-04-35: asset: BTCUSDT, rsi: 37.7937, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-04-46: asset: BTCUSDT, rsi: 37.7284, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-04-57: asset: BTCUSDT, rsi: 37.7284, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-05-09: asset: BTCUSDT, rsi: 37.7186, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-05-20: asset: BTCUSDT, rsi: 37.7186, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-05-32: asset: BTCUSDT, rsi: 37.7186, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-05-44: asset: BTCUSDT, rsi: 37.7186, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-05-55: asset: BTCUSDT, rsi: 37.5280, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-06-07: asset: BTCUSDT, rsi: 40.8799, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-06-18: asset: BTCUSDT, rsi: 38.6497, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-06-29: asset: BTCUSDT, rsi: 38.6497, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-06-41: asset: BTCUSDT, rsi: 38.6497, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-06-53: asset: BTCUSDT, rsi: 38.6497, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-07-04: asset: BTCUSDT, rsi: 38.6263, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-07-16: asset: BTCUSDT, rsi: 38.6263, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-07-28: asset: BTCUSDT, rsi: 38.6263, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-07-39: asset: BTCUSDT, rsi: 38.6263, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-07-51: asset: BTCUSDT, rsi: 45.8153, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-08-03: asset: BTCUSDT, rsi: 46.3606, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-08-14: asset: BTCUSDT, rsi: 36.8919, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-08-25: asset: BTCUSDT, rsi: 36.1494, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-08-37: asset: BTCUSDT, rsi: 36.8919, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-08-49: asset: BTCUSDT, rsi: 35.1419, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
18-09-01: asset: BTCUSDT, rsi: 36.8099, balance: {'asset': 'BTC', 'free': '0.99000000', 'locked': '0.00000000'}
